nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
INNOVA Academy Private School of Business IAPSB;ML;Bamako;Bamako - Baco Djicoroni Golf;Université;MLI-0228;Privé;2024-2025
Institut Africain de Formation en Pédagogie, Recherche et Evaluation de la Santé IAFPRESS;ML;Bamako;Bamako;Université;MLI-0229;Privé;2024-2025
Institut Africain de Management IAM;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0230;Privé;2024-2025
Institut Consulaire d’Etudes et de Formation INCEF;ML;Bamako;Bamako-Hamdallaye;Université;MLI-0231;Privé;2024-2025
Institut de Formation aux Carrières du Travail Social IFCTS;ML;Bamako;Bamako-Hippodrome;Université;MLI-0232;Privé;2024-2025
Institut de Formation en Sciences de la Santé IFSSA;ML;Bamako;Djélibougou - Bamako;Université;MLI-0233;Privé;2024-2025
Institut de Formation pour le Développement Economique et Social;ML;Bamako;Bamako-ACI 2000;Université;MLI-0234;Privé;2024-2025
Institut de Formation Technique Supérieure IFTS;ML;Bamako;Bamako- Baco-Djicoroni Zone ACI;Université;MLI-0235;Privé;2024-2025
Institut de Gestion et de Langues Appliquées aux Métiers IGLAM;ML;Bamako;Bamako-Baco-Djicoroni;Université;MLI-0236;Privé;2024-2025
Institut de Langues et de Commerce International ILCI;ML;Bamako;Bamako-Baco Djicororni ACI;Université;MLI-0237;Privé;2024-2025
Institut de Management et de Technologie IMATEC;ML;Bamako;Bamako-Badalabougou;Université;MLI-0238;Privé;2024-2025
Institut des Finances Samake Mohamed IF SAMAKE MOHAMED;ML;Bamako;Bamako-Magnambougou;Université;MLI-0239;Privé;2024-2025
Institut Privé Africain de la Finance Islamique et du Management IPAFIM;ML;Bamako;Sénou - Bamako;Université;MLI-0240;Privé;2024-2025
Institut Privé Africain de Technologies et de Management IPTMA;ML;Bamako;Bamako-Quartier Mali;Université;MLI-0241;Privé;2024-2025
Institut Privé Africain de Technologies et de Management;ML;Bamako;Hamdallaye ACI 2000 - Bamako;Université;MLI-0242;Privé;2024-2025
Institut Privé Africain pour les Energies Renouvelables, Climat et Innovations IPA-ERCI;ML;Bamako;Bamako - Sokorodji;Université;MLI-0243;Privé;2024-2025
Institut Privé de Formation en Santé de Gao IPFSG;ML;Gao;Sossokoïra - Gao ville;Université;MLI-0244;Privé;2024-2025
Institut Privé de Formation Sanitaire Bernard Kouchner IPFS-BK;ML;Bamako;Hippodrome-Bamako;Université;MLI-0245;Privé;2024-2025
Institut Privé de Langues Appliquées Performance IPLAP;ML;Bamako;Kabala - Kalabancoro;Université;MLI-0246;Privé;2024-2025
Institut Privé de Santé Publique MAIGA IPSPM;ML;Koulikoro;Kati-Sirakoro-Méguétana;Université;MLI-0247;Privé;2024-2025
Institut Privé des Technologies de Bamako ITB-Privé;ML;Bamako;Bamako-Quartier Mali;Université;MLI-0248;Privé;2024-2025
Institut Privé Kôrè des Arts et Métiers IPKAM;ML;Ségou;Sébougou (Ségou);Université;MLI-0249;Privé;2024-2025
Institut Privé Simon Finance et Management International IPSFMI;ML;Bamako;Sotuba - Bamako;Université;MLI-0250;Privé;2024-2025
Institut Privé SMART IP-SMART;ML;Bamako;Niamakoro;Université;MLI-0251;Privé;2024-2025
Institut Spécial des Techniques Commerciales et Comptables ISTCC;ML;Bamako;Bamako-Bagadadji;Université;MLI-0252;Privé;2024-2025
Institut Supérieur de Commerce ISC-BUSINESS SCHOOL;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0253;Privé;2024-2025
Institut Supérieur de Formation en Informatique et Commerce ISFIC;ML;Bamako;Bamako;Université;MLI-0254;Privé;2024-2025
Institut Supérieur de Formation et de Gestion d’Entreprises ISFGE;ML;Bamako;Bamako-Kalaban Coro;Université;MLI-0255;Privé;2024-2025
Institut Supérieur de l’Environnement ISE;ML;Bamako;Kalabancoura - Bamako;Université;MLI-0256;Privé;2024-2025
Institut Supérieur de Management Appliquée ISMA;ML;Bamako;Bamako-Baco-Djikoroni ACI;Université;MLI-0257;Privé;2024-2025
Institut Supérieur de Management de Tombouctou ISMT;ML;Tombouctou;Hammabangou - Tombouctou ville;Université;MLI-0258;Privé;2024-2025
Institut Supérieur de Management et d’Entreprenariat ISM&E;ML;Bamako;Bamako-Faladiè Sema;Université;MLI-0259;Privé;2024-2025
Institut Supérieur de Technologie Appliquée et de Gestion ISTAG;ML;Bamako;Bamako-Kalaban coura;Université;MLI-0260;Privé;2024-2025
Institut Supérieur de Technologie et de Gestion ISTG;ML;Bamako;Bamako-Hamdallaye;Université;MLI-0261;Privé;2024-2025
Institut Vito Saccomandi INSTITUT VITOS;ML;Bamako;Bamako-Kalabancoura;Université;MLI-0262;Privé;2024-2025
Private Associates Universities of Mali PAUM;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0263;Privé;2024-2025
Sahel Business Private Scool SBPS;ML;Bamako;Bamako-Hamdallaye ACI 2000;Université;MLI-0264;Privé;2024-2025
Techno’ Sup-Privée/BCG Techno'Sup-Privée/BCG;ML;;Non précisé;Université;MLI-0265;Privé;2024-2025
Unité Privée de Formation en Télécommunications et Informatique UPFTI;ML;Bamako;Bamako-Kalabancoura;Université;MLI-0266;Privé;2024-2025
