nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
COLLEGE SAINT RAMS;CD;Kinshasa;MONT-NGAFUL A;École primaire;P703;Privé;2024-2025
COMPLEXE SCOLAIRE BANZA;CD;Kinshasa;NGALIEMA;École maternelle;P711;Privé;2024-2025
COMPLEXE SCOLAIRE SAINTE CLEMENTINE;CD;Kinshasa;NGALIEMA;École primaire;P715;Privé;2024-2025
COMPLEXE SCOLAIRE SAFI;CD;Kinshasa;NGALIEMA;École maternelle;P721;Privé;2024-2025
COMPLEXE SCOLAIRE SAFI;CD;Kinshasa;NGALIEMA;École primaire;P722;Privé;2024-2025
COMPLEXE SCOLAIRE LES CARRILLONS;CD;Kinshasa;NGALIEMA;École maternelle;P723;Privé;2024-2025
COMPLEXE SCOLAIRE LES CARRILLONS;CD;Kinshasa;NGALIEMA;École primaire;P724;Privé;2024-2025
COMPLEXE SCOLAIRE DES METIERS ET TECHNIQUES/ MATERNELLE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P7449;Privé;2024-2025
COMPLEXE SCOLAIRE WIDAL SCHOL;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P745;Privé;2024-2025
COMPLEXE SCOLAIRE GOCCE D'ACQUA /PRIMAIRE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P7452;Privé;2024-2025
GROUPE SCOLAIRE ACADFEX /PRIMAIRE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P7457;Privé;2024-2025
GROUPE SCOLAIRE ACADEX /MATERNELLE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P7459;Privé;2024-2025
COMPLEXE SCOLAIRE DES METIERS ET TECHNIQUES;CD;Kinshasa;MONT-NGAFUL A;École primaire;P7496;Privé;2024-2025
COLLEGE MVEMBANOTRE DAME DE LA CONSOLATION;CD;Kinshasa;MONT-NGAFUL A;École primaire;P7501;Privé;2024-2025
ECOLE CHRETIENNE BILINGUE FANNY LA GRACE;CD;Kinshasa;NGALIEMA;École maternelle;P7506;Privé;2024-2025
CRECHE GOCCE D'ACQUA /SECONDAIRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P7509;Privé;2024-2025
COLLEGE MAVUNGU;CD;Kinshasa;MONT-NGAFUL A;Lycée;P7542;Privé;2024-2025
COMPLEXE SCOLAIRE VILLAGE MERE / MATERNELLE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P7931;Privé;2024-2025
ECOLE MATERNELLE MIRA;CD;Kinshasa;NGALIEMA;École maternelle;P806;Privé;2024-2025
ECOLE MATERNELLE COLLEGE CARMEL;CD;Kinshasa;NGALIEMA;École maternelle;P815;Privé;2024-2025
COLLEGE SAINT DENIS/SECONDAIRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P825;Privé;2024-2025
INSTITUT COEUR SACRE;CD;Kinshasa;MONT-NGAFUL A;À vérifier;P829;Privé;2024-2025
COMPLEXE SCOLAIRE BUISSON ARDENTS/SEC;CD;Kinshasa;MONT-NGAFUL A;Lycée;P831;Privé;2024-2025
ECOLE PRIMAIRE KUNDIMANA;CD;Kinshasa;MONT-NGAFUL A;École primaire;P833;Privé;2024-2025
GROUPE SCOLAIRE MONT HERMON / PRIMAIRE;CD;Kinshasa;NGALIEMA;École primaire;P839;Privé;2024-2025
INSTITUT COEUR SACRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P841;Privé;2024-2025
INSTITUT COEUR SACRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P841-673;Privé;2024-2025
INSTITUT KASOMBO TSHINYIME;CD;Kinshasa;NGALIEMA;Lycée;P843;Privé;2024-2025
COMPLEXE SCOLAIRE TYRANNUS;CD;Kinshasa;KINTAMBO;École maternelle;P849;Privé;2024-2025
COMPLEXE SCOLAIRE SAFI;CD;Kinshasa;NGALIEMA;Lycée;P850;Privé;2024-2025
ECOLE MATERNELLE JOVIEMLY HIGH;CD;Kinshasa;NGALIEMA;École maternelle;P854;Privé;2024-2025
ECOLE MATERNELLE SAINT JOSEPH /L ARTISAN DE MBUDI;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P859;Privé;2024-2025
ECOLE PRIMAIRE MAMAN MULEHU;CD;Kinshasa;MONT-NGAFUL A;École primaire;P869;Privé;2024-2025
ECOLE MATERNELLE DON BOSCO;CD;Kinshasa;NGALIEMA;École maternelle;P884;Privé;2024-2025
COLLEGE CS ANUNGA;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P885;Privé;2024-2025
ECOLE MATERNELLE COLLEGE LE GRAIN DE SENEVE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P889;Privé;2024-2025
COLLEGE SAMUEL LEVI;CD;Kinshasa;NGALIEMA;À vérifier;P891;Privé;2024-2025
COMPLEXE SCOLAIRE CS LES PETITS LUTINS;CD;Kinshasa;KINTAMBO;À vérifier;P904;Privé;2024-2025
COMPLEXE SCOLAIRE GS TUMBA;CD;Kinshasa;MONT-NGAFUL A;Lycée;P908;Privé;2024-2025
COLLEGE CHRIST SAUVEUR/PRIMAIRE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P917;Privé;2024-2025
COLLEGE COLLEGE MODERNE LES BATISSEURS;CD;Kinshasa;MONT-NGAFUL A;Lycée;P919;Privé;2024-2025
GROUPE SCOLAIRE LANZIA;CD;Kinshasa;NGALIEMA;École maternelle;P926;Privé;2024-2025
COMPLEXE SCOLAIRE LA SOMMITE/SEC;CD;Kinshasa;NGALIEMA;Lycée;P927;Privé;2024-2025
ECOLE MODERNE REHOBOTH SCHOOL;CD;Kinshasa;LINGWALA;École primaire;P936;Privé;2024-2025
COMPLEXE SCOLAIRE LA BORNE;CD;Kinshasa;NGALIEMA;École maternelle;P940;Privé;2024-2025
ECOLE PRIMAIRE LE REJETON;CD;Kinshasa;MONT-NGAFUL A;École primaire;P946;Privé;2024-2025
GROUPE SCOLAIRE AROMA OF LIFE;CD;Kinshasa;NGALIEMA;École primaire;P948;Privé;2024-2025
COMPLEXE SCOLAIRE MBUNGU/MAT;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P951;Privé;2024-2025
GROUPE SCOLAIRE AURORE;CD;Kinshasa;NGALIEMA;École maternelle;P955;Privé;2024-2025
COMPLEXE SCOLAIRE DIEU EST AMOUR;CD;Kinshasa;NGALIEMA;École maternelle;P958;Privé;2024-2025
COMPLEXE SCOLAIRE ECAM;CD;Kinshasa;NGALIEMA;Lycée;P961;Privé;2024-2025
GROUPE SCOLAIRE ELIKIA VILLAGE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P963;Privé;2024-2025
ECOLE CHRETIENNE BILINGUE FANY;CD;Kinshasa;NGALIEMA;École primaire;P9637;Privé;2024-2025
LYCEE MELISA/SEC;CD;Kinshasa;LINGWALA;Lycée;P964;Privé;2024-2025
COLLEGE NOTRE DAME de LA CONSOLATION;CD;Kinshasa;MONT-NGAFUL A;École primaire;P9644;Privé;2024-2025
